DEBUG 2024-08-05 12:34:18,108 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\rest_framework\renderers.py first seen with mtime 1722840962.2535515
DEBUG 2024-08-05 12:34:18,108 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1722840962.812943
DEBUG 2024-08-05 12:34:18,109 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\admin\migrations\0002_logentry_remove_auto_add.py first seen with mtime 1722840947.0088205
DEBUG 2024-08-05 12:34:18,109 autoreload File C:\Program Files\Python310\Lib\getpass.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,110 autoreload File C:\Program Files\Python310\Lib\pprint.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,110 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\djoser\social\token\jwt.py first seen with mtime 1722840964.0754147
DEBUG 2024-08-05 12:34:18,111 autoreload File C:\Program Files\Python310\Lib\keyword.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,111 autoreload File C:\Program Files\Python310\Lib\linecache.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,112 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1722840948.1330335
DEBUG 2024-08-05 12:34:18,113 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\utils\choices.py first seen with mtime 1722840952.4938421
DEBUG 2024-08-05 12:34:18,113 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\urllib3\util\ssl_match_hostname.py first seen with mtime 1722840941.439713
DEBUG 2024-08-05 12:34:18,113 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1722840952.588119
DEBUG 2024-08-05 12:34:18,114 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1722840952.478842
DEBUG 2024-08-05 12:34:18,114 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\requests\exceptions.py first seen with mtime 1722840944.301376
DEBUG 2024-08-05 12:34:18,115 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1722840952.040346
DEBUG 2024-08-05 12:34:18,115 autoreload File C:\Program Files\Python310\Lib\logging\__init__.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,116 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\postgres\fields\array.py first seen with mtime 1722840950.2799237
DEBUG 2024-08-05 12:34:18,116 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1722840950.2429295
DEBUG 2024-08-05 12:34:18,117 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1722840952.5371015
DEBUG 2024-08-05 12:34:18,117 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\urllib3\util\ssltransport.py first seen with mtime 1722840941.4407127
DEBUG 2024-08-05 12:34:18,117 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1722840952.2448516
DEBUG 2024-08-05 12:34:18,118 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1722840942.5436842
DEBUG 2024-08-05 12:34:18,119 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\admin\migrations\__init__.py first seen with mtime 1722840947.0118198
DEBUG 2024-08-05 12:34:18,119 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\file_storage\storage\admin.py first seen with mtime 1722415916.286004
DEBUG 2024-08-05 12:34:18,120 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\files\images.py first seen with mtime 1722840951.9196303
DEBUG 2024-08-05 12:34:18,121 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1722840951.8636408
DEBUG 2024-08-05 12:34:18,121 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1722840952.541108
DEBUG 2024-08-05 12:34:18,122 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1722840952.2371316
DEBUG 2024-08-05 12:34:18,122 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1722840952.186117
DEBUG 2024-08-05 12:34:18,123 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\urllib3\fields.py first seen with mtime 1722840941.4100566
DEBUG 2024-08-05 12:34:18,123 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1722840948.142026
DEBUG 2024-08-05 12:34:18,124 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1722840947.2984984
DEBUG 2024-08-05 12:34:18,125 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1722840952.4330053
DEBUG 2024-08-05 12:34:18,125 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1722840952.0453477
DEBUG 2024-08-05 12:34:18,126 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1722840952.4808407
DEBUG 2024-08-05 12:34:18,126 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\file_storage\file_storage\__init__.py first seen with mtime 1722415916.2709262
DEBUG 2024-08-05 12:34:18,127 autoreload File C:\Program Files\Python310\Lib\zoneinfo\_common.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,127 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\signing.py first seen with mtime 1722840951.8686335
DEBUG 2024-08-05 12:34:18,128 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1722840952.211108
DEBUG 2024-08-05 12:34:18,129 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1722840952.021346
DEBUG 2024-08-05 12:34:18,129 autoreload File C:\Program Files\Python310\Lib\json\decoder.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,130 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1722840951.9306278
DEBUG 2024-08-05 12:34:18,130 autoreload File C:\Program Files\Python310\Lib\importlib\_adapters.py first seen with mtime 1665496704.0
